"id_car_option","name"
"95","Селектор режима трансмиссии 4WD / 2WD / LOCK (недоступно для версий 2WD)"
"96","Хромированная насадка на выхлопную трубу"
"97","Электрический усилитель руля с изменяемой жесткостью"
"98","Регулировка рулевой колонки по высоте"
"99","Система поиска автомобиля на парковке"
"100","Регулировка задних подголовников по высоте"
"101","Пульт дистанционного управления центральным замком"
"102","Обогрев заднего стекла"
"103","Кондиционер + Фильтр от пыли и запахов"
"104","Многофункциональный бортовой компьютер"
"105","Радиоподготовка (антенна, проводка)"
"106","Jack-разъем"
"107","Система RDS"
"108","2 передних динамика"
"109","Дисплей"
"111","Электронный иммобилайзер"
"112","Передняя подушка безопасности водителя"
"113","Автоматическая блокировка замков при начале движения"
"114","Защита картера металлическая"
"115","Ремни безопасности с ограничителем нагрузки водителя и переднего пассажира"
"116","Три 3 точечных ремня безопасности для задних пассажиров"
"117","Индикатор непристегнутого ремня водителя"
"118","Передняя подушка безопасности пассажира"
"119","Система помощи при экстренном торможении (AFU)"
"120","Электронная система распределения тормозных усилий (REF)"
"121","Кратковременное включение сигнала поворотника при перестроении"
"122","Дисковые вентилируемые тормоза спереди"
"123","Бампера в цвет кузова с декоративными элементами чёрного цвета"
"124","Корпуса зеркал и держатели черного цвета"
"125","Дверные ручки черного цвета"
"126","Шины 185/65R15"
"127","Стальные диски 15\'\' c декоративными колпаками Whaletale"
"128","Окраска металлик или лак"
"129","Галогенные фары"
"130","Передние противотуманные фары"
"131","Отделка сидений тканью C&T Birdy Mistral"
"132","Розетка 12V  передняя"
"134","Закрывающийся перчаточный ящик в правой части передней панели"
"135","Прочее"
"136","Запасное колесо полноразмерное"
"137","Зеркала с электроприводом регулировок"
"138","Задний диван складываемый в пропорции 2/3-1/3"
"139","Кондиционер с функцией A/C Max"
"140","Фильтр от пыли и запахов"
"141","Обогрев нижней части лобового стекла"
"142","2 задних динамика"
"143","USB порт"
"144","Графический информационный дисплей"
"145","Экран С"
"146","Боковые передние подушки безопасности + Крепления ISOFIX для детского кресла на задних боковых сидениях"
"147","Круиз контроль с ограничителем скорости"
"148","Корпуса зеркал окрашенные в цвет кузова"
"150","Стальные диски 15\'\' c декоративными колпаками Asterodea с шинами 185/65R15"
"151","Хромированная вставка в передний бампер"
"152","Хромированные молдинги боковых стекол"
"153","Литые диски 15\""  Tuorla  c шинами 185/65R15"
"174","Отделка сидений тканью C&T Waxe Mistral"
"175","Центральный передний подлокотник с отделением для хранения"
"176","Карманы на спинках передних сидений"
"177","Отделка сидений тканью C&T Waxe Lama"
"178","Кожаный руль"
"179","Электронная система стабилизации курсовой устойчивости (ESP)"
"181","Запасное колесо малоразмерное"
"182","Функция определения местонахождения автомобиля на парковке"
"183","Графический дисплей"
"184","Ремни безопасности водителя и переднего пассажира"
"185","Ремни безопасности с ограничителем нагрузки"
"186","Окраска металлик GRIS ALUMINIUM"
"187","Запасное колесо докатка 16\'\'"
"188","Запасное колесо полноразмерное 15\'\'"
"189","Интегрированный дисплей"
"190","Внутренние ручки дверей с отделкой хромом"
"191","Электроусилитель руля с варьируемым усилием"
"192","Передние и задние электростеклоподъёмники"
"193","Регулировка водительского сиденья по высоте, в продольном положении и по углу наклона спинки"
"195","Бортовой компьютер с монохромным ЖК-дисплеем"
"196","4 динамика"
"198","Подушки безопасности водителя и пассажира"
"199","Замки для защиты от открывания детьми в задних дверях"
"200","Передние ремни безопасности с регулировкой по высоте"
"201","Передние трехточечные ремни безопасности с преднатяжителями"
"202","Электронная система распределения тормозных усилий (EBD)"
"203","Стальные диски 16\"" Kuban"
"206","Багажные дуги на крыше, продольные"
"207","Противотуманные фары + омыватели фар"
"208","Отделка сидений тканью Quest Noir"
"209","2 ряд сидений: 3-х местная банкетка"
"210","Запасное колесо полноразмерное 16\"""
"222","Литые колесныедиски 16\"" Flinders"
"231","Передние светодиодные фары дневного света"
"234","Комбинированная отделка сидений Rift (сиденье отделано тканью, окружение сидений и спинки выполнены из синтетического материала)"
"235","Кожаная ручка КПП"
"236","Автоматически затемняющееся внутреннее зеркало заднего вида"
"237","Комбинированная обивка сидений Rift (ткань, искусственная замша, синтетика)"
"238","Электорорегулировка передних сидений"
"239","Электрорегулировка сиденья переднего пассажира"
"240","Бортовой компьютер с цветным ЖК-дисплеем"
"241","Клавиши управления аудиосистемой на рулевом колесе"
"242","Доступ в автомобиль и запуск двигателя без ключа"
"243","Хромированное обрамление боковых стекол"
"244","Комбинированная отделка сидений кожей и перфорированной кожей: черной и другими сопровождающими материалами"
"245","Подушки безопасности занавесочного типа передние"
"246","Комбинированная обивка сидений кожей и перфорированной кожей"
"247","Селектор режима трансмиссии 4WD / 2WD / LOCK"
"248","Клавиши управления на рулевом колесе"
"250","Автоматически затемняющиеся, складывающиеся зеркала заднего вида с электроприводом"
"251","Электропривод рулевой колонки"
"252","Память настроек сиденья водителя"
"253","Климат-контроль двухзонный"
"254","Обогрев задних сидений"
"255","Навигационная система с жестким диском"
"256","Сабвуфер"
"257","8 динамиков"
"258","Многофункциональный цветной дисплей"
"259","Суперблокировка замков"
"260","Подушка безопасности пассажира с функцией деактивации"
"262","Датчики парковки спереди"
"263","Ассистент сохранения полосы движения"
"264","Система контроля давления в шинах"
"265","Система регулировки жесткости подвески"
"266","Система адаптивного освещения дороги"
"267","Электрогидроусилитель руля с варьируемым усилием"
"268","Панорамное ветровое стекло с повышенной шумоизоляцией"
"271","Электропривод регулировки поясничного упора сиденья водителя и переднего пассажира с функцией массажа"
"272","Обогрев передних сидений (3 уровня)"
"273","Двухзонный климат-контроль с выбором интенсивности подачи воздуха"
"274","Вход JACK 3,5 мм"
"275","Автоматическая блокировка дверей на скорости свыше 10 км/ч"
"276","Передние подушки безопасности водителя и пассажира"
"277","Крепления ISOFIX для детского кресла на задних боковых сидениях"
"278","Передние и задние подголовники (2+3)"
"279","Электронная система распределения тормозных усилий"
"280","Программируемый круиз-контроль с ограничителем скорости"
"281","Боковые зеркала с держателями в цвет кузова"
"282","Окраска кузова BLANC BANQUISE"
"283","Задние тонированные стекла"
"284","Литые диски 16\"" Darwin"
"288","Противотуманные фары с функцией дополнительного освещения поворотов"
"289","Передние фары дневного света"
"290","Регулировка цвета подсветки приборов"
"291","Отделка сидений ткань C&T LACINA Mistral (темная)"
"292","2 сдвижных козырька от солнца со стороны водителя и пассажира"
"293","Отделка сидений комбинированная: ткань Maille SAO + кожа Mistral (темная)"
"294","Розетка 12 V в багажном отделении"
"295","Рулевое колесо с регулировкой по высоте и вылету"
"296","Панорамное ветровое стекло с повышенной шумоизоляцией + 2 сдвижных козырька от солнца со стороны водителя и пассажира"
"297","Зеркала заднего вида с электроприводом и обогревом"
"298","Кнопка открытия лючка топливного бака"
"299","Вход USB + вход JACK 3,5 мм + Bluetooth"
"300","Боковые и оконные (шторки) подушки безопасности"
"301","Внешние зеркала + держатели, ручки дверей в цвет кузова"
"302","Литые диски 16\"" DARWIN + Запасное колесо (полноразмерное 16\"")"
"303","Комбинированная обивка сидений: ткань Maille SAO / кожа Mistral"
"304","Сервисный договор CITROEN PERFECT DRIVE на 48 месяцев / 60 000 km"
"305","Сервисный договор CITROEN ESSENTIAL DRIVE на +12 месяцев / 60 000 km"
"306","Люк для лыж"
"307","Регулировка высоты сиденья переднего пассажира"
"308","Алюминиевые накладки на педали и на упор для ног"
"309","Память на две настройки для сидения водителя"
"310","Выбор одной из четырех групп полифонических сигналов для системы звуковых оповещений"
"311","Навигация eMyWay"
"312","Сабвуфер в багажном отделении"
"313","Усилитель с эквалайзером"
"314","4 высокочастотных динамика"
"315","4 среднечастотных динамика"
"316","Экран 7\"""
"321","Поворотные Биксеноновые фары, с углом поворота светового пучка до 15˚"
"322","Центральный подлокотник сзади"
"323","Коврики спереди и сзади"
"324","Кожа Club Rouge (красная)"
"325","Кожа Club Blanc (белая)"
"326","Кожа Club Habana (коричневая)"
"327","Интегральная отделка салона (приборная панель, панель дверей) кожей Integral Cuir Habana"
"328","Отделка сидения водителя и переднего пассажира выполнена в форме браслета часов"
"329","Вставки на панелях передних и задних дверей красного цвета"
"330","Вставки на панелях передних и задних дверей белого цвета"
"331","Отделка сидений комбинированная: ткань Maille SAO"
"332","Отделка сидений кожей премиум-класса Club Habana"
"333","Отделка сидений кожа Claudia Mistral (темная)"
"334","Система определения доступного места для парковки"
"335","Система мониторинга слепой зоны"
"336","Электрогидроусилитель руля"
"337","Регулировка сидения переднего пассажира по высоте"
"338","Электропривод регулировки поясничного упора сидения водителя и переднего пассажира"
"339","Передние и задние подголовники"
"340","Алюминиевые накладки на пороги"
"341","Боковые молдинги окрашенные в контрастный цвет с отделкой хромом"
"342","Боковые молдинги окрашенные в цвет кузова с отделкой хромом"
"343","Поворотные Би-ксеноновые фары"
"344","Передние сидения с функцией массажа"
"345","Внутреннее зеркало заднего вида с механическим затемнением"
"346","Задний подлокотник"
"347","Алюминиевые накладки на педалях"
"348","Солнцезащитные козырьки"
"349","Интегральная отделка салона кожей Integral Cuir Habana"
"350","Отделка сидений сочетание кожа Claudia + кожа Club"
"351","Отделка сидений комбинированная: ткань Maille SAO + кожа Habana (коричневая)"
"352","Литые диски 18\"" BRISBANE + Запасное колесо (полноразмерное 16\"")"
"353","CD-проигрыватель c поддержкой MP3"
"354","Передние боковые подушки безопасности + шторки безопасности"
"355","Электроприводы регулировок сидений водителя, память на две настройки для сидения водителя"
"356","Навигация eMyWay с экраном 7\"""
"370","Запасное колесо докатка"
"371","Литые диски 17\"" CANBERRA + Запасное колесо (полноразмерное 16\"")"
"372","Повышенная шумоизоляция ветрового стекла"
"374","Регулировка высоты передних сидений"
"375","Часть заднего спойлера, окрашенная в черный цвет NOIR PERLA NERA"
"376","Крыша, окрашенная в черный цвет NOIR PERLA NERA"
"377","Держатели и ручки дверей в цвет кузова"
"378","Электрический стояночный тормоз"
"379","Литые диски 18\"" BRISBANE + Набор для ремонта шин"
"381","Литые диски 19\"" CAIRNS"
"387","Кожаная обивка сидений Claudia Mistral"
"388","Комбинированная обивка сидений: кожа Claudia Mistral / кожа Club Blanc"
"389","Легкосплавные колесные диски 17\"" CANBERRA"
"420","Светодиодные дневные ходовые огни"
"421","Светодиодный повторитель указателя поворота"
"422","Светодиодная подсветка зеркал"
"423","Автоматическое включение фар ближнего света"
"424","Козырек панели приборов, отделанный кожей"
"425","Отделка сидений кожей Claudia"
"426","Функция массажа сиденья водителя"
"427","2 розетки 12V на центральной консоли и для задних пассажиров"
"428","Многофункциональная потолочная консоль над передними сиденьями"
"429","Цветная комбинация приборов"
"430","Аналоговые часы на передней панели"
"431","Отделка сидений кожей премиум класса"
"432","Ветровое стекло с повышенной шумоизоляцией"
"433","Электрически складывающиеся зеркала со светодиодной подсветкой"
"434","Механическая регулировка поясничного упора сиденья водителя"
"435","Электропривод регулировки поясничного упора сидения водителя"
"436","Индикатор непристегнутых ремней водителя, переднего и задних пассажиров"
"437","Интеллектуальная система контроля тяги"
"438","Помощь при начале движения на склоне"
"439","Центральные части переднего и заднего бамперов + рамки боковых стекол, окрашенные в черный цвет Noir Brillant"
"440","Литые диски 18\"" CANAVERAL"
"457","Отделка сидений тканью Armucara (темная)"
"458","Аналоговые часы"
"459","Механическая регулировка подушки сидения пассажира по длине"
"460","Руль отделанный кожей премиум класса"
"461","Поворотные Би-ксеноновые фары, с углом поворота светового пучка до 15˚ с омывателем фар"
"462","Передние и задние электростеклоподъемники секвентальные с защитой от защемления"
"463","Электроприводы регулировок сиденья водителя и пассажира"
"464","Система помощи при старте на подъеме"
"465","Окраска GRIS HURICCANE"
"466","Зеркала заднего вида со светодиодными повторителями указателей поворотов"
"467","Крыша Cockpit с 3-мя остекленными участками, закрывающимися автоматическими шторками"
"468","Окраска (металлик) VAPOR GREY/BLEU PHILAE/HICKORY /NOIR PERLA NERA/GRIS ALUMINIUM /GRIS GALENA"
"469","Сопровождающее освещение (выключение передних фар с задержкой)"
"470","Автоматическая регулировка дальности света"
"471","Отделка передних и задних сидений Sportlounge"
"472","Кожаная обивка сидений"
"473","Отделка передних и задних сидений выполнена в форме браслета часов"
"474","Электрорегулировка поясничной опоры"
"475","Воздуховоды для 2 ряда сидений"
"476","Отделка сидений комбинированная: ткань Dinamica Mistral"
"477","Кожа Claudia (темная)"
"478","Литые диски 18\"" CANAVERAL (цвет- серый глянцевый, с алмазной шлифовкой)"
"510","Иммобилайзер Sentry Key"
"511","Фронтальные подушки безопасности с многостадийным наполнением газом - \""Next Generation\"""
"512","Боковые подушки безопасности"
"513","Подушки безопасности занавесочного типа задние"
"514","Крепление детского сидения"
"515","Система Traction Control (электронная противобуксовочная система)"
"516","Система Break/Park Interlock"
"517","Контроль давления воздуха в шинах - дисплей"
"518","Насадка хромированная на сдвоенную выхлопную трубу"
"519","Облицовка решетки радиатора хромированная"
"520","Ручки дверей хромированные"
"521","Сдвоенные выхлопные трубы"
"522","Эмблема Dodge, Journey, R/T, \""All Wheel Drive\"""
"523","Рейлинги продольные на крыше хромированные"
"524","Багажник на крыше"
"525","Отверстия для закрепления буксировочного крюка"
"526","Фары головного света галогеновые"
"527","Лампы светодиодные для освещения передней и задней частей салона"
"528","Выключение переднего освещения с задержкой (функция Проводи меня домой)"
"529","Внутрисалонные съемный подзаряжаемый фонарик"
"530","Подсветка туалетных зеркал в солнцезащитных козырьках"
"532","Отделка элементов сидений салона - кожа"
"533","Сиденье переднего пассажира, плоско складывающееся"
"534","12V электрические розетки (впереди и сзади)"
"535","Миниконсоль потолочная"
"536","Отделение для хранения вещей под сиденьем переднего пассажира"
"537","Подстаканники с подсветкой"
"538","3 ряд сидений, складывающихся в пропорции 50/50"
"539","Компактное запасное колесо"
"541","Регулируемая рулевая колонка"
"542","Аэродинамические бескаркасные стеклоочистители"
"543","Электростеклоподъемники передних и задних дверей"
"544","Электрорегулировка зеркал заднего вида"
"545","Ручная регулировка сидений"
"548","Кондиционирование (обдув) зоны задних сидений"
"549","Противоугонная система"
"550","Крепление для детского сиденья Isofix на заднем сиденье"
"551","Автоматическая разблокировка дверей при столкновении"
"553","3 точечные ремни безопасности"
"554","Преднатяжители ремней безопасности для водителя и переднего пассажира"
"555","Антипробуксовочная система"
"556","Функция предупреждения о неисправных лампах"
"557","Легкосплавные колесные диски 16\"""
"669","Управление аудиосистемой на руле, 6 клавиш"
"670","Электрический усилитель рулевого управления (EPS)"
"671","Боковые зеркала черного цвета"
"673","Электроусилитель рулевого управления (EPAS)"
"674","Рулевая колонка, регулируемая по вылету и углу наклона"
"676","Передние стеклоочистители с несколькими режимами работы"
"677","Крюки для крепления багажа в багажном отделении"
"678","Задние электростеклоподъемники"
"679","Зеркала окрашенные в цвет кузова с электроприводом, обогревом и встроенными указателями поворота"
"680","Сиденье водителя с механической регулировкой в 6 направлениях"
"681","Заднее сиденье складывающееся в соотношении 60/40, с регулируемым наклоном спинок"
"682","Сиденье переднего пассажира с механической регулировкой в 4 направлениях"
"683","Дополнительный электрообогреватель воздуха салона"
"684","Дистанционное управление аудиосистемой на рулевом колесе"
"685","Разъем AUX для подключения внешних устройств"
"686","Аудиосистема CD/MP3 + AM/FM радио"
"687","Замки с функцией центральной блокировки"
"689","Фронтальные подушки безопасности водителя и переднего пассажира"
"690","Интеллектуальная система безопасности (IPS)"
"691","Антиблокировочная система тормозов (ABS) с системой помощи при экстренном торможении (EBA)"
"692","Электронная система курсовой устойчивости (ESC)"
"693","Система предотвращения опрокидывания (RSC)"
"694","Передний и задний бампер в цвет кузова с темной окантовкой"
"695","Окраска кузова Frozen White"
"696","Серебристые защитные накладки на бамперах"
"697","Решетка радиатора, окрашенная в серебристый цвет"
"698","Передние и задние брызговики"
"699","16\"" стальные колесные диски 205/60 R16"
"708","Система SYNC c Bluetooth и голосовым управлением на русском языке"
"709","Сигнализация с датчиками периметра и объема"
"710","16\"" легкосплавные колесные диски, шины 205/60R16"
"751","Электростеклоподъемники передние и задние"
"752","Складывающиеся задние сиденья разделенные в отношении 60/40"
"753","Задние подголовники"
"755","DVD-проигрыватель"
"756","Люк с электроприводом"
"757","Ручка КПП кожа+пластик"
"758","Регулировка руля"
"759","Задний стеклоочиститель"
"760","Ручная регулировка водительского сидения, 8 положений"
"761","Ручная регулировка сидения переднего пассажира, 4 положения"
"762","Складывающаяся спинка заднего сидения (60/40)"
"763","Блокировка стеклоподъемников со стороны водителя"
"764","Футляр для солнечных очков"
"765","CD-приемник для 1 диска"
"766","Антенна в заднем боковом стекле"
"767","Иммобилайзер двигателя"
"768","2 крепления детских сидений ISOFIX"
"769","Открытие дверей со стороны водителя"
"770","Блокировка дверей изнутри"
"771","Пластиковый кожух защиты двигателя"
"772","Пластиковая крышка двигателя с отделкой хромом"
"773","Передние ремни безопасности с преднатяжителем"
"774","Трехточечные ремни безопасности пассажиров заднего ряда"
"775","Парктроник"
"776","BOS - Система приоритета педали тормоза"
"777","Рамки дверей с черной окантовкой"
"778","Обвес задний"
"779","Боковой обвес"
"780","Брызговики"
"781","Электрическая регулировка света фар по высоте"
"782","Внутренняя подсветка в дверях"
"783","Отделка салона темного цвета"
"784","Тканевая обивка потолка"
"785","Хромированные внутренние дверные ручки"
"786","Отделка вспомогательной панели с титановым покрытием"
"787","Отделка панели приборов с титановым покрытием"
"788","Отделка рулевого колеса с титановым покрытием"
"789","Панель радио с титановым покрытием"
"790","Приборы цилиндрической формы с титановым покрытием"
"791","Панели кондиционера с титановым покрытием"
"792","Макияжные зеркала в солнцезащитных козырьках"
"793","Педаль из нержавеющей стали"
"794","Копилка"
"795","Перчаточный ящик"
"796","Электронное управление дроссельной заслонки (ETC)"
"797","Ручное складывание наружных зеркал заднего вида"
"798","Пассажирское сиденье с механической регулировкой в 4 направлениях"
"799","Электронный привод педали акселератора"
"800","Фильтр кондиционера"
"801","Хромированная отделка крышки двигателя"
"802","Тканевые сиденья (Темно - серый цвет)"
"803","Ручное внутреннее зеркало заднего вида с автозатемнением"
"804","Задний центральный подлокотник"
"805","Пластиковые педали"
"806","Ящик переднего центрального подлоктника"
"807","Передний перчаточный ящик"
"808","Рулевое колесо с регулеровкой в двух положениях"
"809","Пластиковый руль"
"810","Регулировка пассажирского сиденья в 4 направлениях"
"811","Регулировка водительского сиденья в 4 направлениях"
"812","Ключ дистанционного управления"
"813","Левая подножка для отдыха"
"814","Радио AM/FM"
"815","Автоматической закрытие замков дверей с началом движения"
"816","Преднатяжители ремней безопасности на передних сиденьях"
"817","Травмобезопасная рулевая колонка"
"818","Сигнал о непристегнутом ремне безопасности водителя"
"819","Барабанные задние тормоза"
"820","Дисковые тормоза спереди"
"821","Сигнал предупреждения о включенном ручном тормозе"
"822","Индикатор предупреждения о незакрытых дверях"
"823","Шины 185/60 R15"
"824","Декорированные колпаки"
"825","Диск запасного колеса - стальной"
"826","Плафон освещения салона - передний"
"827","Задержка выключения передних фар"
"828","Автоматическое освещение приборной панели"
"829","Отделка интерьера в черном цвете"
"830","Декоративные вставки в темно-серебристом цвете"
"831","Прикуриватель"
"832","Солнцезащитный козырек с косметическим зеркалом"
"833","Теплоизоляционная прокладка капота"
"835","Передний подстаканник"
"836","Запасное колесо 185/60 R15"
"837","E-GAS - электронный акселератор"
"838","Центральный подголовник заднего сиденья"
"839","Сигнал о непристегнутом ремне безопасности переднего пассажира"
"840","Освещение передней двери"
"841","Обивка крышки багажника"
"842","Центральный подлокотник водителя"
"843","Передвижная пепельница"
"844","Электрическое открытие багажника"
"845","Электронная система динамической стабилизации автомобиля (ESP)"
"846","Дисковые тормоза спереди и сзади"
"847","Шины 195/55 R15"
"848","Диск запасного колеса - легкосплавный"
"849","Запасное колесо 195/55 R15"
"850","Рулевое управление с электроусилителем"
"852","Сетка для фиксации багажа"
"853","Крючки в багажном отделении"
"854","Электропривод и обогрев наружных зеркал"
"855","Регулировка поясничного упора сиденья водителя"
"856","Складывающаяся спинка заднего сиденья в пропорции 6/4"
"857","Центральный замок с ДУ в раскладном ключе зажигания и сигнализацией"
"858","Двухзонный климат-контроль с системой ионизации воздуха"
"859","Обогрев зоны покоя очистителя лобового стекла"
"860","Обогрев передних и задних сидений"
"861","Маршрутный компьютер"
"862","Блок управления магнитолой на руле"
"863","AM/FM-стерео"
"864","Радио с RDS"
"865","Подушка безопасности водителя и переднего пассажира (отключаемая)"
"866","Шторки безопасности для передних и задних пассажиров"
"867","Система предупреждения водителей сзади при экстренном торможении (ESS)"
"868","Преднатяжители ремней безопасности передних сидений"
"869","Сигнал непристегнутых ремней безопасности"
"870","Задние дисковые тормоза"
"871","Бампера в цвет кузова"
"872","Ручки дверей и корпуса наружных зеркал в цвет кузова"
"873","Задний спойлер с дополнительным стоп-сигналом"
"874","Глубокая тонировка задних стекол"
"875","Легкая тонировка стекол"
"876","Легкосплавные колесные диски 17\"""
"895","Мультимедиа система с 7\"" сенсорным дисплеем"
"903","Система регулировки усилия на руле (Flex steer)"
"904","Система помощи при старте в гору (HAC)"
"905","Теплозащитные стекла (лобовое и передние боковые)"
"906","Литые колесные диски 18\"" с резиной 225/55 Kumho/Hankook"
"918","Полноразмерное запасное колесо (18\"" легкосплавный диск)"
"925","Литые колесные диски 18\"""
"948","Шины 245/65 Kumho/Hankook"
"949","Ксеноновые лампы головного света"
"950","Подсветка околодверного пространства"
"951","Отделка салона \""под дерево\"" (бежевый интерьер) / \""под карбон\"" (черный интерьер)"
"952","Выбор цвета салона: черный/бежевый"
"953","Полноразмерное запасное колесо"
"954","Электрорегулировка руля по высоте"
"955","Электрорегулировка руля по вылету"
"956","Система \""Smart key\"" - доступ без ключа"
"957","Память настроек боковых зеркал"
"958","Память настроек рулевой колонки"
"959","Вентиляция сиденья водителя"
